d_Fecha;c_Tipo;c_CodArt;c_Descri;n_Cantidad;n_Costo;c_Deposito
01/12/2025;S;P-001;PRODUCTO RENTABLE;4;95,00;PRINCIPAL
01/12/2025;E;P-001;PRODUCTO RENTABLE;50;95,00;PRINCIPAL
01/12/2025;S;P-002;PRODUCTO SOBREABASTECIDO;2;170,00;PRINCIPAL
01/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;8;100,00;PRINCIPAL
01/12/2025;S;P-004;PRODUCTO POR AGOTARSE;5;105,00;PRINCIPAL
01/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;3;140,00;PRINCIPAL
02/12/2025;S;P-001;PRODUCTO RENTABLE;5;95,00;PRINCIPAL
02/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;8;100,00;PRINCIPAL
02/12/2025;S;P-004;PRODUCTO POR AGOTARSE;6;105,00;PRINCIPAL
02/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;4;140,00;PRINCIPAL
03/12/2025;S;P-001;PRODUCTO RENTABLE;5;95,00;PRINCIPAL
03/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;7;100,00;PRINCIPAL
03/12/2025;S;P-004;PRODUCTO POR AGOTARSE;7;105,00;PRINCIPAL
03/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;4;140,00;PRINCIPAL
04/12/2025;S;P-001;PRODUCTO RENTABLE;6;95,00;PRINCIPAL
04/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;7;100,00;PRINCIPAL
04/12/2025;S;P-004;PRODUCTO POR AGOTARSE;8;105,00;PRINCIPAL
04/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;5;140,00;PRINCIPAL
05/12/2025;S;P-001;PRODUCTO RENTABLE;15;95,00;PRINCIPAL
05/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;9;100,00;PRINCIPAL
05/12/2025;S;P-004;PRODUCTO POR AGOTARSE;10;105,00;PRINCIPAL
05/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;6;140,00;PRINCIPAL
06/12/2025;S;P-001;PRODUCTO RENTABLE;3;95,00;PRINCIPAL
06/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;5;100,00;PRINCIPAL
06/12/2025;S;P-004;PRODUCTO POR AGOTARSE;8;105,00;PRINCIPAL
06/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;2;140,00;PRINCIPAL
07/12/2025;S;P-001;PRODUCTO RENTABLE;2;95,00;PRINCIPAL
07/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;4;100,00;PRINCIPAL
07/12/2025;S;P-004;PRODUCTO POR AGOTARSE;6;105,00;PRINCIPAL
07/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;1;140,00;PRINCIPAL
08/12/2025;S;P-001;PRODUCTO RENTABLE;4;95,00;PRINCIPAL
08/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;8;100,00;PRINCIPAL
08/12/2025;S;P-004;PRODUCTO POR AGOTARSE;5;105,00;PRINCIPAL
08/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;3;140,00;PRINCIPAL
09/12/2025;S;P-001;PRODUCTO RENTABLE;5;95,00;PRINCIPAL
09/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;8;100,00;PRINCIPAL
09/12/2025;S;P-004;PRODUCTO POR AGOTARSE;6;105,00;PRINCIPAL
09/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;4;140,00;PRINCIPAL
10/12/2025;S;P-001;PRODUCTO RENTABLE;5;95,00;PRINCIPAL
10/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;9;100,00;PRINCIPAL
10/12/2025;S;P-004;PRODUCTO POR AGOTARSE;7;105,00;PRINCIPAL
10/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;4;140,00;PRINCIPAL
11/12/2025;S;P-001;PRODUCTO RENTABLE;6;95,00;PRINCIPAL
11/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;7;100,00;PRINCIPAL
11/12/2025;S;P-004;PRODUCTO POR AGOTARSE;8;105,00;PRINCIPAL
11/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;5;140,00;PRINCIPAL
12/12/2025;S;P-001;PRODUCTO RENTABLE;8;95,00;PRINCIPAL
12/12/2025;E;P-001;PRODUCTO RENTABLE;50;95,00;PRINCIPAL
12/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;9;100,00;PRINCIPAL
12/12/2025;S;P-004;PRODUCTO POR AGOTARSE;20;105,00;PRINCIPAL
12/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;6;140,00;PRINCIPAL
13/12/2025;S;P-001;PRODUCTO RENTABLE;3;95,00;PRINCIPAL
13/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;5;100,00;PRINCIPAL
13/12/2025;S;P-004;PRODUCTO POR AGOTARSE;18;105,00;PRINCIPAL
13/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;2;140,00;PRINCIPAL
14/12/2025;S;P-001;PRODUCTO RENTABLE;2;95,00;PRINCIPAL
14/12/2025;S;P-002;PRODUCTO SOBREABASTECIDO;1;170,00;PRINCIPAL
14/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;4;100,00;PRINCIPAL
14/12/2025;S;P-004;PRODUCTO POR AGOTARSE;16;105,00;PRINCIPAL
14/12/2025;S;P-006;PRODUCTO ESTACIONAL DETENIDO;1;140,00;PRINCIPAL
15/12/2025;S;P-001;PRODUCTO RENTABLE;4;95,00;PRINCIPAL
15/12/2025;S;P-002;PRODUCTO SOBREABASTECIDO;2;170,00;PRINCIPAL
15/12/2025;S;P-003;PRODUCTO CON MARGEN BAJO;8;100,00;PRINCIPAL
15/12/2025;S;P-004;PRODUCTO POR AGOTARSE;5;105,00;PRINCIPAL
