c_TipoDoc;c_NumeroD;d_Fecha;c_CodClie;c_CodArt;c_Descri;n_Cantidad;n_Precio;n_CostoAct
PRE;000001;01/12/2025;C-02;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000002;01/12/2025;C-03;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000003;01/12/2025;C-04;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000004;01/12/2025;C-05;P-004;PRODUCTO POR AGOTARSE;5;160,00;105,00
FAC;000005;01/12/2025;C-06;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000006;02/12/2025;C-07;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000007;02/12/2025;C-08;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000008;02/12/2025;C-09;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000009;02/12/2025;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000010;03/12/2025;C-11;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000011;03/12/2025;C-12;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000012;03/12/2025;C-13;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000013;03/12/2025;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000014;04/12/2025;C-15;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000015;04/12/2025;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000016;04/12/2025;C-17;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000017;04/12/2025;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000018;05/12/2025;C-01;P-001;PRODUCTO RENTABLE;15;180,00;95,00
FAC;000019;05/12/2025;C-02;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000020;05/12/2025;C-03;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000021;05/12/2025;C-04;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000022;06/12/2025;C-05;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000023;06/12/2025;C-06;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000024;06/12/2025;C-07;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000025;06/12/2025;C-08;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000026;07/12/2025;C-09;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000027;07/12/2025;C-10;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000028;07/12/2025;C-11;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000029;07/12/2025;C-12;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000030;08/12/2025;C-13;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000031;08/12/2025;C-14;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000032;08/12/2025;C-15;P-004;PRODUCTO POR AGOTARSE;5;160,00;105,00
FAC;000033;08/12/2025;C-16;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000034;09/12/2025;C-17;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000035;09/12/2025;C-18;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000036;09/12/2025;C-01;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000037;09/12/2025;C-02;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000038;10/12/2025;C-03;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000039;10/12/2025;C-04;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000040;10/12/2025;C-05;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000041;10/12/2025;C-06;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000042;11/12/2025;C-07;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000043;11/12/2025;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000044;11/12/2025;C-09;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000045;11/12/2025;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
