sale_id,sale_date,product_id,product_name,quantity,unit_price,unit_cost,customer_id
V-00001,2025-12-01,P-001,Producto rentable,4,180,95,C-02
V-00002,2025-12-01,P-002,Producto sobreabastecido,2,250,170,C-03
V-00003,2025-12-01,P-003,Producto con margen bajo,8,105,100,C-04
V-00004,2025-12-01,P-004,Producto por agotarse,5,160,105,C-05
V-00005,2025-12-01,P-006,Producto estacional detenido,3,210,140,C-06
V-00006,2025-12-02,P-001,Producto rentable,5,180,95,C-07
V-00007,2025-12-02,P-003,Producto con margen bajo,8,105,100,C-08
V-00008,2025-12-02,P-004,Producto por agotarse,6,160,105,C-09
V-00009,2025-12-02,P-006,Producto estacional detenido,4,210,140,C-10
V-00010,2025-12-03,P-001,Producto rentable,5,180,95,C-11
V-00011,2025-12-03,P-003,Producto con margen bajo,7,105,100,C-12
V-00012,2025-12-03,P-004,Producto por agotarse,7,160,105,C-13
V-00013,2025-12-03,P-006,Producto estacional detenido,4,210,140,C-14
V-00014,2025-12-04,P-001,Producto rentable,6,180,95,C-15
V-00015,2025-12-04,P-003,Producto con margen bajo,7,105,100,C-16
V-00016,2025-12-04,P-004,Producto por agotarse,8,160,105,C-17
V-00017,2025-12-04,P-006,Producto estacional detenido,5,210,140,C-18
V-00018,2025-12-05,P-001,Producto rentable,15,180,95,C-01
V-00019,2025-12-05,P-003,Producto con margen bajo,9,105,100,C-02
V-00020,2025-12-05,P-004,Producto por agotarse,10,160,105,C-03
V-00021,2025-12-05,P-006,Producto estacional detenido,6,210,140,C-04
V-00022,2025-12-06,P-001,Producto rentable,3,180,95,C-05
V-00023,2025-12-06,P-003,Producto con margen bajo,5,105,100,C-06
V-00024,2025-12-06,P-004,Producto por agotarse,8,160,105,C-07
V-00025,2025-12-06,P-006,Producto estacional detenido,2,210,140,C-08
V-00026,2025-12-07,P-001,Producto rentable,2,180,95,C-09
V-00027,2025-12-07,P-003,Producto con margen bajo,4,105,100,C-10
V-00028,2025-12-07,P-004,Producto por agotarse,6,160,105,C-11
V-00029,2025-12-07,P-006,Producto estacional detenido,1,210,140,C-12
V-00030,2025-12-08,P-001,Producto rentable,4,180,95,C-13
V-00031,2025-12-08,P-003,Producto con margen bajo,8,105,100,C-14
V-00032,2025-12-08,P-004,Producto por agotarse,5,160,105,C-15
V-00033,2025-12-08,P-006,Producto estacional detenido,3,210,140,C-16
V-00034,2025-12-09,P-001,Producto rentable,5,180,95,C-17
V-00035,2025-12-09,P-003,Producto con margen bajo,8,105,100,C-18
V-00036,2025-12-09,P-004,Producto por agotarse,6,160,105,C-01
V-00037,2025-12-09,P-006,Producto estacional detenido,4,210,140,C-02
V-00038,2025-12-10,P-001,Producto rentable,5,180,95,C-03
V-00039,2025-12-10,P-003,Producto con margen bajo,9,105,100,C-04
V-00040,2025-12-10,P-004,Producto por agotarse,7,160,105,C-05
V-00041,2025-12-10,P-006,Producto estacional detenido,4,210,140,C-06
V-00042,2025-12-11,P-001,Producto rentable,6,180,95,C-07
V-00043,2025-12-11,P-003,Producto con margen bajo,7,105,100,C-08
V-00044,2025-12-11,P-004,Producto por agotarse,8,160,105,C-09
V-00045,2025-12-11,P-006,Producto estacional detenido,5,210,140,C-10
V-00046,2025-12-12,P-001,Producto rentable,8,180,95,C-11
V-00047,2025-12-12,P-003,Producto con margen bajo,9,105,100,C-12
V-00048,2025-12-12,P-004,Producto por agotarse,20,160,105,C-13
V-00049,2025-12-12,P-006,Producto estacional detenido,6,210,140,C-14
V-00050,2025-12-13,P-001,Producto rentable,3,180,95,C-15
V-00051,2025-12-13,P-003,Producto con margen bajo,5,105,100,C-16
V-00052,2025-12-13,P-004,Producto por agotarse,18,160,105,C-17
V-00053,2025-12-13,P-006,Producto estacional detenido,2,210,140,C-18
V-00054,2025-12-14,P-001,Producto rentable,2,180,95,C-01
V-00055,2025-12-14,P-002,Producto sobreabastecido,1,250,170,C-02
V-00056,2025-12-14,P-003,Producto con margen bajo,4,105,100,C-03
V-00057,2025-12-14,P-004,Producto por agotarse,16,160,105,C-04
V-00058,2025-12-14,P-006,Producto estacional detenido,1,210,140,C-05
V-00059,2025-12-15,P-001,Producto rentable,4,180,95,C-06
V-00060,2025-12-15,P-002,Producto sobreabastecido,2,250,170,C-07
V-00061,2025-12-15,P-003,Producto con margen bajo,8,105,100,C-08
V-00062,2025-12-15,P-004,Producto por agotarse,5,160,105,C-09
V-00063,2025-12-15,P-006,Producto estacional detenido,3,210,140,C-10
V-00064,2025-12-16,P-001,Producto rentable,5,180,95,C-11
V-00065,2025-12-16,P-003,Producto con margen bajo,8,105,100,C-12
V-00066,2025-12-16,P-004,Producto por agotarse,6,160,105,C-13
V-00067,2025-12-16,P-006,Producto estacional detenido,4,210,140,C-14
V-00068,2025-12-17,P-001,Producto rentable,5,180,95,C-15
V-00069,2025-12-17,P-003,Producto con margen bajo,7,105,100,C-16
V-00070,2025-12-17,P-004,Producto por agotarse,7,160,105,C-17
V-00071,2025-12-17,P-006,Producto estacional detenido,4,210,140,C-18
V-00072,2025-12-18,P-001,Producto rentable,6,180,95,C-01
V-00073,2025-12-18,P-003,Producto con margen bajo,7,105,100,C-02
V-00074,2025-12-18,P-004,Producto por agotarse,8,160,105,C-03
V-00075,2025-12-18,P-006,Producto estacional detenido,5,210,140,C-04
V-00076,2025-12-19,P-001,Producto rentable,8,180,95,C-05
V-00077,2025-12-19,P-003,Producto con margen bajo,9,105,100,C-06
V-00078,2025-12-19,P-004,Producto por agotarse,10,160,105,C-07
V-00079,2025-12-19,P-006,Producto estacional detenido,6,210,140,C-08
V-00080,2025-12-20,P-001,Producto rentable,10,180,95,C-09
V-00081,2025-12-20,P-003,Producto con margen bajo,5,105,100,C-10
V-00082,2025-12-20,P-004,Producto por agotarse,8,160,105,C-11
V-00083,2025-12-20,P-006,Producto estacional detenido,2,210,140,C-12
V-00084,2025-12-21,P-001,Producto rentable,2,180,95,C-13
V-00085,2025-12-21,P-003,Producto con margen bajo,4,105,100,C-14
V-00086,2025-12-21,P-004,Producto por agotarse,6,160,105,C-15
V-00087,2025-12-21,P-006,Producto estacional detenido,1,210,140,C-16
V-00088,2025-12-22,P-001,Producto rentable,4,180,95,C-17
V-00089,2025-12-22,P-003,Producto con margen bajo,8,105,100,C-18
V-00090,2025-12-22,P-004,Producto por agotarse,5,160,105,C-01
V-00091,2025-12-22,P-006,Producto estacional detenido,3,210,140,C-02
V-00092,2025-12-23,P-001,Producto rentable,5,180,95,C-03
V-00093,2025-12-23,P-003,Producto con margen bajo,8,105,100,C-04
V-00094,2025-12-23,P-004,Producto por agotarse,6,160,105,C-05
V-00095,2025-12-23,P-006,Producto estacional detenido,4,210,140,C-06
V-00096,2025-12-24,P-001,Producto rentable,5,180,95,C-07
V-00097,2025-12-24,P-003,Producto con margen bajo,7,105,100,C-08
V-00098,2025-12-24,P-004,Producto por agotarse,7,160,105,C-09
V-00099,2025-12-24,P-006,Producto estacional detenido,4,210,140,C-10
V-00100,2025-12-25,P-001,Producto rentable,6,180,95,C-11
V-00101,2025-12-25,P-003,Producto con margen bajo,9,105,100,C-12
V-00102,2025-12-25,P-004,Producto por agotarse,8,160,105,C-13
V-00103,2025-12-25,P-006,Producto estacional detenido,5,210,140,C-14
V-00104,2025-12-26,P-001,Producto rentable,8,180,95,C-15
V-00105,2025-12-26,P-003,Producto con margen bajo,9,105,100,C-16
V-00106,2025-12-26,P-004,Producto por agotarse,10,160,105,C-17
V-00107,2025-12-26,P-006,Producto estacional detenido,6,210,140,C-18
V-00108,2025-12-27,P-001,Producto rentable,3,180,95,C-01
V-00109,2025-12-27,P-002,Producto sobreabastecido,1,250,170,C-02
V-00110,2025-12-27,P-003,Producto con margen bajo,5,105,100,C-03
V-00111,2025-12-27,P-004,Producto por agotarse,8,160,105,C-04
V-00112,2025-12-27,P-006,Producto estacional detenido,2,210,140,C-05
V-00113,2025-12-28,P-001,Producto rentable,2,180,95,C-06
V-00114,2025-12-28,P-003,Producto con margen bajo,4,105,100,C-07
V-00115,2025-12-28,P-004,Producto por agotarse,6,160,105,C-08
V-00116,2025-12-28,P-006,Producto estacional detenido,1,210,140,C-09
V-00117,2025-12-29,P-001,Producto rentable,4,180,95,C-10
V-00118,2025-12-29,P-003,Producto con margen bajo,8,105,100,C-11
V-00119,2025-12-29,P-004,Producto por agotarse,5,160,105,C-12
V-00120,2025-12-29,P-006,Producto estacional detenido,3,210,140,C-13
V-00121,2025-12-30,P-001,Producto rentable,5,180,95,C-14
V-00122,2025-12-30,P-003,Producto con margen bajo,8,105,100,C-15
V-00123,2025-12-30,P-004,Producto por agotarse,6,160,105,C-16
V-00124,2025-12-30,P-006,Producto estacional detenido,4,210,140,C-17
V-00125,2025-12-31,P-001,Producto rentable,5,180,95,C-18
V-00126,2025-12-31,P-003,Producto con margen bajo,7,105,100,C-01
V-00127,2025-12-31,P-004,Producto por agotarse,7,160,105,C-02
V-00128,2025-12-31,P-006,Producto estacional detenido,4,210,140,C-03
V-00129,2026-01-01,P-001,Producto rentable,6,180,95,C-04
V-00130,2026-01-01,P-002,Producto sobreabastecido,2,250,170,C-05
V-00131,2026-01-01,P-003,Producto con margen bajo,7,105,100,C-06
V-00132,2026-01-01,P-004,Producto por agotarse,8,160,105,C-07
V-00133,2026-01-01,P-006,Producto estacional detenido,5,210,140,C-08
V-00134,2026-01-02,P-001,Producto rentable,8,180,95,C-09
V-00135,2026-01-02,P-003,Producto con margen bajo,9,105,100,C-10
V-00136,2026-01-02,P-004,Producto por agotarse,10,160,105,C-11
V-00137,2026-01-02,P-006,Producto estacional detenido,6,210,140,C-12
V-00138,2026-01-03,P-001,Producto rentable,3,180,95,C-13
V-00139,2026-01-03,P-003,Producto con margen bajo,5,105,100,C-14
V-00140,2026-01-03,P-004,Producto por agotarse,8,160,105,C-15
V-00141,2026-01-03,P-006,Producto estacional detenido,2,210,140,C-16
V-00142,2026-01-04,P-001,Producto rentable,2,180,95,C-17
V-00143,2026-01-04,P-003,Producto con margen bajo,4,105,100,C-18
V-00144,2026-01-04,P-004,Producto por agotarse,6,160,105,C-01
V-00145,2026-01-04,P-006,Producto estacional detenido,1,210,140,C-02
V-00146,2026-01-05,P-001,Producto rentable,11,180,95,C-03
V-00147,2026-01-05,P-003,Producto con margen bajo,8,105,100,C-04
V-00148,2026-01-05,P-004,Producto por agotarse,6,160,105,C-05
V-00149,2026-01-05,P-006,Producto estacional detenido,3,210,140,C-06
V-00150,2026-01-06,P-001,Producto rentable,5,180,95,C-07
V-00151,2026-01-06,P-003,Producto con margen bajo,8,105,100,C-08
V-00152,2026-01-06,P-004,Producto por agotarse,7,160,105,C-09
V-00153,2026-01-06,P-006,Producto estacional detenido,4,210,140,C-10
V-00154,2026-01-07,P-001,Producto rentable,5,180,95,C-11
V-00155,2026-01-07,P-003,Producto con margen bajo,7,105,100,C-12
V-00156,2026-01-07,P-004,Producto por agotarse,8,160,105,C-13
V-00157,2026-01-07,P-006,Producto estacional detenido,4,210,140,C-14
V-00158,2026-01-08,P-001,Producto rentable,6,180,95,C-15
V-00159,2026-01-08,P-003,Producto con margen bajo,7,105,100,C-16
V-00160,2026-01-08,P-004,Producto por agotarse,9,160,105,C-17
V-00161,2026-01-08,P-006,Producto estacional detenido,5,210,140,C-18
V-00162,2026-01-09,P-001,Producto rentable,8,180,95,C-01
V-00163,2026-01-09,P-002,Producto sobreabastecido,1,250,170,C-02
V-00164,2026-01-09,P-003,Producto con margen bajo,9,105,100,C-03
V-00165,2026-01-09,P-004,Producto por agotarse,11,160,105,C-04
V-00166,2026-01-09,P-006,Producto estacional detenido,6,210,140,C-05
V-00167,2026-01-10,P-001,Producto rentable,3,180,95,C-06
V-00168,2026-01-10,P-003,Producto con margen bajo,7,105,100,C-07
V-00169,2026-01-10,P-004,Producto por agotarse,9,160,105,C-08
V-00170,2026-01-10,P-006,Producto estacional detenido,2,210,140,C-09
V-00171,2026-01-11,P-001,Producto rentable,2,180,95,C-10
V-00172,2026-01-11,P-003,Producto con margen bajo,4,105,100,C-11
V-00173,2026-01-11,P-004,Producto por agotarse,7,160,105,C-12
V-00174,2026-01-11,P-006,Producto estacional detenido,1,210,140,C-13
V-00175,2026-01-12,P-001,Producto rentable,4,180,95,C-14
V-00176,2026-01-12,P-003,Producto con margen bajo,8,105,100,C-15
V-00177,2026-01-12,P-004,Producto por agotarse,16,160,105,C-16
V-00178,2026-01-12,P-006,Producto estacional detenido,3,210,140,C-17
V-00179,2026-01-13,P-001,Producto rentable,5,180,95,C-18
V-00180,2026-01-13,P-003,Producto con margen bajo,8,105,100,C-01
V-00181,2026-01-13,P-004,Producto por agotarse,17,160,105,C-02
V-00182,2026-01-13,P-006,Producto estacional detenido,4,210,140,C-03
V-00183,2026-01-14,P-001,Producto rentable,5,180,95,C-04
V-00184,2026-01-14,P-003,Producto con margen bajo,7,105,100,C-05
V-00185,2026-01-14,P-004,Producto por agotarse,18,160,105,C-06
V-00186,2026-01-14,P-006,Producto estacional detenido,4,210,140,C-07
